City,City,Crash Type,Latitude,Location Flag,Location,Longitude,Number of Records,Year
VANCOUVER,2,PDO,49.263766,Intersection,E 8TH AVE & ONTARIO ST & W 8TH AVE,-123.104855,1,2014
VANCOUVER,1,PDO,49.262956,Intersection,E 8TH AVE & PENTICTON ST,-123.052207,1,2014
VANCOUVER,1,PDO,49.263407,Intersection,E 8TH AVE & PRINCE ALBERT ST,-123.087157,1,2014
VANCOUVER,2,PDO,49.263477,Intersection,E 8TH AVE & PRINCE EDWARD ST,-123.095931,1,2014
VANCOUVER,1,PDO,49.263732,Intersection,E 8TH AVE & QUEBEC ST,-123.102931,1,2014
VANCOUVER,1,PDO,49.263661,Intersection,E 8TH AVE & SCOTIA ST,-123.09894,1,2014
VANCOUVER,1,PDO,49.263455,Intersection,E 8TH AVE & ST GEORGE ST,-123.092984,1,2014
VANCOUVER,1,PDO,49.263289,Intersection,E 8TH AVE & WOODLAND DR,-123.073631,1,2014
VANCOUVER,23,PDO,49.262482,Intersection,E BROADWAY & FRASER ST,-123.089134,1,2014
VANCOUVER,2,PDO,49.262242,Intersection,E BROADWAY & GARDEN DR,-123.058157,1,2014
VANCOUVER,7,PDO,49.262425,Intersection,E BROADWAY & GLEN DR,-123.08139,1,2014
VANCOUVER,1,PDO,49.262297,Intersection,E BROADWAY & GRANDVIEW HWY N,-123.066838,1,2014
VANCOUVER,2,PDO,49.262518,Intersection,E BROADWAY & GUELPH ST,-123.094952,1,2014
VANCOUVER,1,PDO,49.262017,Intersection,E BROADWAY & KAMLOOPS ST,-123.054705,1,2014
VANCOUVER,2,PDO,49.262002,Intersection,E BROADWAY & KASLO ST,-123.04704,1,2014
VANCOUVER,21,PDO,49.26287,Intersection,E BROADWAY & KINGSWAY,-123.099528,1,2014
VANCOUVER,6,PDO,49.26226,Intersection,E BROADWAY & LAKEWOOD DR,-123.06203,1,2014
VANCOUVER,3,PDO,49.261899,Intersection,E BROADWAY & LILLOOET ST,-123.039083,1,2014
VANCOUVER,18,PDO,49.262912,Intersection,E BROADWAY & MAIN ST,-123.100967,1,2014
VANCOUVER,6,PDO,49.262376,Intersection,E BROADWAY & MCLEAN DR,-123.075584,1,2014
VANCOUVER,33,PDO,49.262131,Intersection,E BROADWAY & NANAIMO ST,-123.056591,1,2014
VANCOUVER,6,PDO,49.261924,Intersection,E BROADWAY & NOOTKA ST,-123.041577,1,2014
VANCOUVER,11,PDO,49.263014,Intersection,E BROADWAY & ONTARIO ST & W BROADWAY,-123.104885,1,2014
VANCOUVER,2,PDO,49.262006,Intersection,E BROADWAY & PENTICTON ST,-123.053006,1,2014
VANCOUVER,7,PDO,49.262469,Intersection,E BROADWAY & PRINCE ALBERT ST,-123.087187,1,2014
VANCOUVER,6,PDO,49.262639,Intersection,E BROADWAY & PRINCE EDWARD ST,-123.096,1,2014
VANCOUVER,9,PDO,49.262966,Intersection,E BROADWAY & QUEBEC ST,-123.102961,1,2014
VANCOUVER,18,PDO,49.261948,Intersection,E BROADWAY & RENFREW ST,-123.044314,1,2014
VANCOUVER,22,PDO,49.261898,Intersection,E BROADWAY & RUPERT ST,-123.033733,1,2014
VANCOUVER,3,PDO,49.262852,Intersection,E BROADWAY & SCOTIA ST,-123.098984,1,2014
VANCOUVER,1,PDO,49.262274,Intersection,E BROADWAY & SEMLIN DR,-123.063968,1,2014
VANCOUVER,6,PDO,49.262006,Intersection,E BROADWAY & SLOCAN ST,-123.049586,1,2014
VANCOUVER,6,PDO,49.262455,Intersection,E BROADWAY & ST CATHERINES ST,-123.085264,1,2014
VANCOUVER,1,PDO,49.262505,Intersection,E BROADWAY & ST GEORGE ST,-123.093,1,2014
VANCOUVER,15,PDO,49.262294,Intersection,E BROADWAY & VICTORIA DR,-123.065915,1,2014
VANCOUVER,1,PDO,49.262891,Intersection,E BROADWAY & WATSON ST,-123.100284,1,2014
VANCOUVER,1,PDO,49.261897,Intersection,E BROADWAY & WINDERMERE ST,-123.036518,1,2014
VANCOUVER,3,PDO,49.262441,Intersection,E BROADWAY & WINDSOR ST,-123.083321,1,2014
VANCOUVER,13,PDO,49.262359,Intersection,E BROADWAY & WOODLAND DR,-123.073646,1,2014
VANCOUVER,1,PDO,49.281914,Intersection,E CORDOVA ST & GLEN DR,-123.081283,1,2014
VANCOUVER,2,PDO,49.282252,Intersection,E CORDOVA ST & GORE AVE,-123.097592,1,2014
VANCOUVER,3,PDO,49.282097,Intersection,E CORDOVA ST & HEATLEY AVE,-123.089494,1,2014
VANCOUVER,1,PDO,49.282177,Intersection,E CORDOVA ST & JACKSON AVE,-123.093384,1,2014
VANCOUVER,4,PDO,49.282289,Intersection,E CORDOVA ST & MAIN ST,-123.09963,1,2014
VANCOUVER,1,PDO,49.281932,Intersection,E CORDOVA ST & RAYMUR AVE,-123.082406,1,2014
VANCOUVER,7,PDO,49.278569,Intersection,E GEORGIA ST & MAIN ST,-123.099771,1,2014
VANCOUVER,1,PDO,49.278291,Intersection,E GEORGIA ST & NANAIMO ST,-123.056557,1,2014
VANCOUVER,27,PDO,49.281144,Intersection,E HASTINGS ST & E HASTINGS ST OFFRAMP & E HASTINGS ST ONRAMP & TRANS-CANADA HWY,-123.031621,1,2014
VANCOUVER,4,PDO,49.28117,Intersection,E HASTINGS ST & GARDEN DR,-123.057838,1,2014
VANCOUVER,7,PDO,49.280967,Intersection,E HASTINGS ST & GLEN DR,-123.081304,1,2014
VANCOUVER,5,PDO,49.281312,Intersection,E HASTINGS ST & GORE AVE,-123.097465,1,2014
VANCOUVER,11,PDO,49.281092,Intersection,E HASTINGS ST & HAWKS AVE,-123.087162,1,2014
VANCOUVER,2,PDO,49.281164,Intersection,E HASTINGS ST & HEATLEY AVE,-123.089531,1,2014
VANCOUVER,5,PDO,49.281237,Intersection,E HASTINGS ST & JACKSON AVE,-123.093427,1,2014
VANCOUVER,9,PDO,49.281166,Intersection,E HASTINGS ST & KAMLOOPS ST,-123.054581,1,2014
VANCOUVER,12,PDO,49.281154,Intersection,E HASTINGS ST & KASLO ST,-123.046659,1,2014
VANCOUVER,2,PDO,49.281133,Intersection,E HASTINGS ST & KOOTENAY AND HASTINGS LOOP,-123.026567,1,2014
VANCOUVER,7,PDO,49.281134,Intersection,E HASTINGS ST & KOOTENAY ST,-123.025715,1,2014
VANCOUVER,6,PDO,49.281175,Intersection,E HASTINGS ST & LAKEWOOD DR,-123.061688,1,2014
VANCOUVER,2,PDO,49.281161,Intersection,E HASTINGS ST & LILLOOET ST,-123.038842,1,2014
VANCOUVER,16,PDO,49.281347,Intersection,E HASTINGS ST & MAIN ST,-123.099687,1,2014
VANCOUVER,9,PDO,49.28131,Intersection,E HASTINGS ST & MCLEAN DR,-123.074117,1,2014
VANCOUVER,44,PDO,49.281168,Intersection,E HASTINGS ST & NANAIMO ST,-123.056544,1,2014
VANCOUVER,7,PDO,49.281162,Intersection,E HASTINGS ST & PENTICTON ST,-123.051974,1,2014
VANCOUVER,7,PDO,49.281196,Intersection,E HASTINGS ST & PRINCESS AVE,-123.091467,1,2014
VANCOUVER,19,PDO,49.281155,Intersection,E HASTINGS ST & RENFREW ST,-123.044034,1,2014
VANCOUVER,2,PDO,49.28124,Intersection,E HASTINGS ST & SALSBURY DR,-123.06829,1,2014
VANCOUVER,1,PDO,49.28119,Intersection,E HASTINGS ST & SEMLIN DR,-123.063634,1,2014
VANCOUVER,18,PDO,49.281132,Intersection,E HASTINGS ST & SKEENA ST,-123.02833,1,2014
VANCOUVER,13,PDO,49.281159,Intersection,E HASTINGS ST & SLOCAN ST,-123.049336,1,2014
VANCOUVER,6,PDO,49.281173,Intersection,E HASTINGS ST & TEMPLETON DR,-123.059764,1,2014
VANCOUVER,6,PDO,49.281115,Intersection,E HASTINGS ST & VERNON DR,-123.079159,1,2014
VANCOUVER,14,PDO,49.281211,Intersection,E HASTINGS ST & VICTORIA DR,-123.065573,1,2014
VANCOUVER,8,PDO,49.281163,Intersection,E HASTINGS ST & WINDERMERE ST,-123.036186,1,2014
VANCOUVER,2,PDO,49.281292,Intersection,E HASTINGS ST & WOODLAND DR,-123.072629,1,2014
VANCOUVER,27,PDO,49.287083,Intersection,E HASTINGS ST OFFRAMP & E HASTINGS ST ONRAMP & MCGILL ST OFFRAMP & MCGILL ST ONRAMP & N SKEENA ST & SECOND NARROWS BRIDGE & TRANS-CANADA HWY & HIGHWAY RAMP,-123.030985,1,2014
VANCOUVER,4,PDO,49.289308,Intersection,E HASTINGS ST ONRAMP & N SKEENA ST & TRANS-CANADA HWY,-123.028307,1,2014
VANCOUVER,3,PDO,49.208185,Intersection,E KENT AVE N & FRASER ST,-123.091176,1,2014
VANCOUVER,1,PDO,49.206787,Intersection,E KENT AVE N & KERR ST,-123.042257,1,2014
VANCOUVER,1,PDO,49.207235,Intersection,E KENT AVE N & MAIN ST,-123.102418,1,2014
VANCOUVER,1,PDO,49.206861,Intersection,E KENT AVE N & ONTARIO ST & W KENT AVE N,-123.106851,1,2014
VANCOUVER,1,PDO,49.207477,Intersection,E KENT AVE N & VICTORIA DR,-123.066156,1,2014
VANCOUVER,5,PDO,49.248662,Intersection,E KING EDWARD AVE & FRASER ST,-123.090155,1,2014
VANCOUVER,2,PDO,49.248563,Intersection,E KING EDWARD AVE & GLEN DR,-123.081908,1,2014
VANCOUVER,1,PDO,49.248549,Intersection,E KING EDWARD AVE & INVERNESS ST,-123.080035,1,2014
VANCOUVER,15,PDO,49.248491,Intersection,E KING EDWARD AVE & KINGSWAY,-123.072309,1,2014
VANCOUVER,13,PDO,49.248512,Intersection,E KING EDWARD AVE & KNIGHT ST,-123.076075,1,2014
VANCOUVER,22,PDO,49.248771,Intersection,E KING EDWARD AVE & MAIN ST,-123.10107,1,2014
VANCOUVER,2,PDO,49.248844,Intersection,E KING EDWARD AVE & ONTARIO ST & W KING EDWARD AVE,-123.104993,1,2014
VANCOUVER,1,PDO,49.248613,Intersection,E KING EDWARD AVE & PRINCE ALBERT ST,-123.087735,1,2014
VANCOUVER,1,PDO,49.248717,Intersection,E KING EDWARD AVE & PRINCE EDWARD ST,-123.096771,1,2014
VANCOUVER,1,PDO,49.248741,Intersection,E KING EDWARD AVE & SOPHIA ST,-123.098894,1,2014
VANCOUVER,1,PDO,49.280233,Intersection,E PENDER ST & GARDEN DR,-123.057847,1,2014
VANCOUVER,2,PDO,49.280335,Intersection,E PENDER ST & GORE AVE,-123.097304,1,2014
VANCOUVER,12,PDO,49.280381,Intersection,E PENDER ST & MAIN ST,-123.099699,1,2014
VANCOUVER,1,PDO,49.280234,Intersection,E PENDER ST & NANAIMO ST,-123.056548,1,2014
VANCOUVER,1,PDO,49.280206,Intersection,E PENDER ST & RENFREW ST,-123.044078,1,2014
VANCOUVER,1,PDO,49.280262,Intersection,E PENDER ST & SALSBURY DR,-123.06831,1,2014
VANCOUVER,1,PDO,49.239725,Intersection,EARLES ST & HORLEY ST,-123.046779,1,2014
VANCOUVER,23,PDO,49.237566,Intersection,EARLES ST & KINGSWAY,-123.048809,1,2014
VANCOUVER,1,PDO,49.257278,Intersection,EAST BLVD & W 16TH AVE,-123.152464,1,2014
VANCOUVER,2,PDO,49.238282,Intersection,EAST BLVD & W 37TH AVE,-123.154893,1,2014
VANCOUVER,18,PDO,49.234578,Intersection,EAST BLVD & W 41ST AVE,-123.154989,1,2014
VANCOUVER,1,PDO,49.233602,Intersection,EAST BLVD & W 42ND AVE,-123.155027,1,2014
VANCOUVER,1,PDO,49.230857,Intersection,EAST BLVD & W 45TH AVE,-123.155138,1,2014
VANCOUVER,3,PDO,49.227151,Intersection,EAST BLVD & W 49TH AVE,-123.154514,1,2014
VANCOUVER,1,PDO,49.245017,Intersection,EDDINGTON DR & PUGET DR,-123.163377,1,2014
VANCOUVER,11,PDO,49.207107,Intersection,ELLIOTT ST & SE MARINE DR,-123.056819,1,2014
VANCOUVER,2,PDO,49.23656,Intersection,ELM ST & W 39TH AVE,-123.16412,1,2014
VANCOUVER,7,PDO,49.234702,Intersection,ELM ST & W 41ST AVE,-123.164156,1,2014
VANCOUVER,1,PDO,49.227284,Intersection,ELM ST & W 49TH AVE,-123.164447,1,2014
VANCOUVER,1,PDO,49.287604,Intersection,ETON ST & N BOUNDARY RD,-123.023403,1,2014
VANCOUVER,3,PDO,49.287616,Intersection,ETON ST & N NANAIMO ST,-123.056499,1,2014
VANCOUVER,10,PDO,49.236432,Intersection,EUCLID AVE & JOYCE ST,-123.033629,1,2014
VANCOUVER,1,PDO,49.237582,Intersection,EUCLID AVE & MCHARDY ST,-123.036469,1,2014
VANCOUVER,1,PDO,49.238824,Intersection,EUCLID AVE & RUPERT ST,-123.039552,1,2014
VANCOUVER,1,PDO,49.243273,Intersection,EUCLID AVE & SLOCAN ST,-123.050859,1,2014
VANCOUVER,2,PDO,49.237867,Intersection,EUCLID AVE & TAUNTON ST,-123.03718,1,2014
VANCOUVER,1,PDO,49.241621,Intersection,EUCLID AVE & TODD ST,-123.046478,1,2014
VANCOUVER,2,PDO,49.235177,Intersection,EUCLID AVE & TYNE ST,-123.030455,1,2014
VANCOUVER,1,PDO,49.270789,Intersection,EVANS AVE & GLEN DR,-123.081484,1,2014
VANCOUVER,4,PDO,49.277891,Intersection,EXPO BLVD & GRIFFITHS WAY,-123.110374,1,2014
VANCOUVER,3,PDO,49.276605,Intersection,EXPO BLVD & QUEBEC ST,-123.102299,1,2014
VANCOUVER,1,PDO,49.236702,Intersection,FAIRMONT ST & KINGSWAY,-123.046693,1,2014
VANCOUVER,1,PDO,49.254765,Intersection,FALAISE AVE & WORTHINGTON DR,-123.03053,1,2014
VANCOUVER,2,PDO,49.279672,Intersection,FERNDALE ST & VICTORIA DR,-123.065595,1,2014
VANCOUVER,12,PDO,49.267898,Intersection,FIR ST & FIR ST OFFRAMP & GRANVILLE ST & GRANVILLE ST BRIDGE & HEMLOCK ST & HEMLOCK ST ONRAMP & W 4TH AVE & W 4TH AVE OFFRAMP & BUS LANE,-123.138396,1,2014
VANCOUVER,5,PDO,49.262677,Intersection,FIR ST & W 10TH AVE,-123.141066,1,2014
VANCOUVER,6,PDO,49.261738,Intersection,FIR ST & W 11TH AVE,-123.141104,1,2014
VANCOUVER,9,PDO,49.260842,Intersection,FIR ST & W 12TH AVE,-123.14114,1,2014
VANCOUVER,4,PDO,49.259853,Intersection,FIR ST & W 13TH AVE,-123.141183,1,2014
VANCOUVER,3,PDO,49.258953,Intersection,FIR ST & W 14TH AVE,-123.141217,1,2014
VANCOUVER,12,PDO,49.257099,Intersection,FIR ST & W 16TH AVE,-123.141293,1,2014
VANCOUVER,1,PDO,49.270843,Intersection,FIR ST & W 1ST AVE,-123.141389,1,2014
VANCOUVER,4,PDO,49.269712,Intersection,FIR ST & W 2ND AVE,-123.140791,1,2014
VANCOUVER,1,PDO,49.268821,Intersection,FIR ST & W 3RD AVE,-123.140806,1,2014
VANCOUVER,8,PDO,49.267924,Intersection,FIR ST & W 4TH AVE,-123.140873,1,2014
VANCOUVER,1,PDO,49.266223,Intersection,FIR ST & W 6TH AVE,-123.140934,1,2014
VANCOUVER,4,PDO,49.26538,Intersection,FIR ST & W 7TH AVE,-123.140927,1,2014
VANCOUVER,4,PDO,49.264554,Intersection,FIR ST & W 8TH AVE,-123.141085,1,2014
VANCOUVER,9,PDO,49.263614,Intersection,FIR ST & W BROADWAY,-123.141026,1,2014
VANCOUVER,1,PDO,49.269361,Intersection,FIR ST OFFRAMP & GRANVILLE ST BRIDGE & HEMLOCK ST ONRAMP & LAMEYS MILL RD & W 2ND AVE,-123.137704,1,2014
VANCOUVER,1,PDO,49.27935,Intersection,FRANCES ST & SALSBURY DR,-123.06833,1,2014
VANCOUVER,1,PDO,49.279408,Intersection,FRANCES ST & WOODLAND DR,-123.072682,1,2014
VANCOUVER,1,PDO,49.282314,Intersection,FRANKLIN ST & GLEN DR,-123.081271,1,2014
VANCOUVER,2,PDO,49.282228,Intersection,FRANKLIN ST & MCLEAN DR,-123.074092,1,2014
VANCOUVER,1,PDO,49.282072,Intersection,FRANKLIN ST & NANAIMO ST,-123.056539,1,2014
VANCOUVER,1,PDO,49.282162,Intersection,FRANKLIN ST & SALSBURY DR,-123.068276,1,2014
VANCOUVER,1,PDO,49.282061,Intersection,FRANKLIN ST & SKEENA ST,-123.028319,1,2014
VANCOUVER,2,PDO,49.282209,Intersection,FRANKLIN ST & WOODLAND DR,-123.072638,1,2014
VANCOUVER,36,PDO,49.25669,Intersection,FRASER ST & KINGSWAY,-123.089786,1,2014
VANCOUVER,35,PDO,49.211023,Intersection,FRASER ST & SE MARINE DR,-123.091135,1,2014
VANCOUVER,1,PDO,49.212224,Intersection,FRASERVIEW DR & JASPER CRES & VICTORIA DR,-123.06605,1,2014
VANCOUVER,1,PDO,49.213775,Intersection,FREMLIN ST & PARK DR & W 63RD AVE,-123.127314,1,2014
VANCOUVER,1,PDO,49.205766,Intersection,FREMLIN ST & SW MARINE DR,-123.127605,1,2014
VANCOUVER,1,PDO,49.208432,Intersection,FREMLIN ST & W 70TH AVE,-123.127511,1,2014
VANCOUVER,4,PDO,49.208597,Intersection,FRENCH ST & W 70TH AVE,-123.13921,1,2014
VANCOUVER,1,PDO,49.207049,Intersection,FRENCH ST & W 71ST AVE,-123.139264,1,2014
VANCOUVER,1,PDO,49.258268,Intersection,GARDEN DR & GRANDVIEW HWY S,-123.058251,1,2014
VANCOUVER,1,PDO,49.272037,Intersection,GARDEN DR & KITCHENER ST,-123.057957,1,2014
VANCOUVER,1,PDO,49.274974,Intersection,GEORGE ST & NAPIER ST,-123.079469,1,2014
VANCOUVER,5,PDO,49.2768,Intersection,GEORGE ST & VENABLES ST,-123.079983,1,2014
VANCOUVER,1,PDO,49.277157,Intersection,GEORGIA VIADUCT & MAIN ST OFFRAMP,-123.103752,1,2014
VANCOUVER,1,PDO,49.290383,Intersection,GILFORD ST & NELSON ST,-123.140196,1,2014
VANCOUVER,4,PDO,49.293614,Intersection,GILFORD ST & W GEORGIA ST,-123.135272,1,2014
VANCOUVER,21,PDO,49.243562,Intersection,GLADSTONE ST & KINGSWAY,-123.06181,1,2014
VANCOUVER,2,PDO,49.208294,Intersection,GLADSTONE ST & SE MARINE DR,-123.061935,1,2014
VANCOUVER,1,PDO,49.250004,Intersection,GLADSTONE ST & STAINSBURY AVE & VANNESS AVE,-123.06043,1,2014
VANCOUVER,7,PDO,49.252948,Intersection,GLEN DR & KINGSWAY,-123.081798,1,2014
VANCOUVER,1,PDO,49.275857,Intersection,GLEN DR & PARKER ST,-123.081404,1,2014
VANCOUVER,2,PDO,49.269879,Intersection,GLEN DR & TERMINAL AVE,-123.081408,1,2014
VANCOUVER,2,PDO,49.277339,Intersection,GLEN DR & UNION ST,-123.081372,1,2014
VANCOUVER,9,PDO,49.276816,Intersection,GLEN DR & VENABLES ST,-123.08138,1,2014
VANCOUVER,1,PDO,49.23015,Intersection,GLENDALOUGH PL & SW MARINE DR,-123.180333,1,2014
VANCOUVER,9,PDO,49.279435,Intersection,GORE AVE & KEEFER ST,-123.097188,1,2014
VANCOUVER,3,PDO,49.283157,Intersection,GORE AVE & POWELL ST,-123.097714,1,2014
VANCOUVER,6,PDO,49.277617,Intersection,GORE AVE & UNION ST,-123.096963,1,2014
VANCOUVER,1,PDO,49.242896,Intersection,GOTHARD ST & NORQUAY ST,-123.052746,1,2014
VANCOUVER,6,PDO,49.257884,Intersection,GRANDVIEW HWY & GRANDVIEW HWY S & SLOCAN ST,-123.049573,1,2014
VANCOUVER,9,PDO,49.25819,Intersection,GRANDVIEW HWY & KASLO ST,-123.046994,1,2014
VANCOUVER,1,PDO,49.258114,Intersection,GRANDVIEW HWY & LILLOOET ST,-123.039073,1,2014
VANCOUVER,13,PDO,49.258135,Intersection,GRANDVIEW HWY & NATAL ST,-123.030321,1,2014
VANCOUVER,2,PDO,49.258149,Intersection,GRANDVIEW HWY & NOOTKA ST,-123.041596,1,2014
VANCOUVER,41,PDO,49.258194,Intersection,GRANDVIEW HWY & RENFREW ST,-123.044284,1,2014
VANCOUVER,52,PDO,49.258127,Intersection,GRANDVIEW HWY & RUPERT ST,-123.033793,1,2014
VANCOUVER,20,PDO,49.258138,Intersection,GRANDVIEW HWY & SKEENA ST,-123.028533,1,2014
VANCOUVER,1,PDO,49.265658,Intersection,GRANDVIEW HWY N & MCLEAN DR,-123.075508,1,2014
VANCOUVER,15,PDO,49.258468,Intersection,GRANDVIEW HWY N & NANAIMO ST,-123.056617,1,2014
VANCOUVER,8,PDO,49.257799,Intersection,GRANDVIEW HWY S & NANAIMO ST,-123.056635,1,2014
VANCOUVER,1,PDO,49.257506,Intersection,GRANDVIEW HWY S & PENTICTON ST,-123.052951,1,2014
VANCOUVER,1,PDO,49.25909,Intersection,GRANDVIEW HWY S & TEMPLETON DR,-123.060191,1,2014
VANCOUVER,1,PDO,49.270232,Intersection,GRANDVIEW VIADUCT & TERMINAL AVE,-123.084871,1,2014
VANCOUVER,1,PDO,49.271347,Intersection,GRANT ST & LILLOOET ST,-123.038929,1,2014
VANCOUVER,1,PDO,49.271282,Intersection,GRANT ST & NANAIMO ST,-123.056593,1,2014
VANCOUVER,2,PDO,49.271281,Intersection,GRANT ST & VICTORIA DR,-123.065738,1,2014
VANCOUVER,12,PDO,49.278201,Intersection,GRANVILLE ST & HELMCKEN ST,-123.124606,1,2014
VANCOUVER,8,PDO,49.250841,Intersection,GRANVILLE ST & LAURIER AVE,-123.139056,1,2014
VANCOUVER,70,PDO,49.257053,Intersection,GRANVILLE ST & MARPOLE AVE & W 16TH AVE,-123.138793,1,2014
VANCOUVER,3,PDO,49.253151,Intersection,GRANVILLE ST & MATTHEWS AVE,-123.138938,1,2014
VANCOUVER,43,PDO,49.205303,Intersection,GRANVILLE ST & MILTON ST & SW MARINE DR,-123.140462,1,2014
VANCOUVER,1,PDO,49.242821,Intersection,GRANVILLE ST & MINTO CRES,-123.139234,1,2014
VANCOUVER,14,PDO,49.247416,Intersection,GRANVILLE ST & NANTON AVE,-123.139168,1,2014
VANCOUVER,24,PDO,49.279252,Intersection,GRANVILLE ST & NELSON ST,-123.12304,1,2014
VANCOUVER,17,PDO,49.217369,Intersection,GRANVILLE ST & PARK DR & W 59TH AVE,-123.140216,1,2014
VANCOUVER,11,PDO,49.281368,Intersection,GRANVILLE ST & ROBSON ST,-123.119815,1,2014
VANCOUVER,25,PDO,49.280325,Intersection,GRANVILLE ST & SMITHE ST,-123.121393,1,2014
VANCOUVER,25,PDO,49.262638,Intersection,GRANVILLE ST & W 10TH AVE,-123.138541,1,2014
VANCOUVER,10,PDO,49.26171,Intersection,GRANVILLE ST & W 11TH AVE,-123.138572,1,2014
VANCOUVER,18,PDO,49.2608,Intersection,GRANVILLE ST & W 12TH AVE,-123.138697,1,2014
VANCOUVER,16,PDO,49.259815,Intersection,GRANVILLE ST & W 13TH AVE,-123.138729,1,2014
VANCOUVER,20,PDO,49.258921,Intersection,GRANVILLE ST & W 14TH AVE,-123.138726,1,2014
VANCOUVER,4,PDO,49.258014,Intersection,GRANVILLE ST & W 15TH AVE,-123.138741,1,2014
VANCOUVER,4,PDO,49.248332,Intersection,GRANVILLE ST & W 26TH AVE,-123.139148,1,2014
VANCOUVER,4,PDO,49.24368,Intersection,GRANVILLE ST & W 32ND AVE,-123.139206,1,2014
VANCOUVER,25,PDO,49.241887,Intersection,GRANVILLE ST & W 33RD AVE,-123.139312,1,2014
VANCOUVER,2,PDO,49.239965,Intersection,GRANVILLE ST & W 35TH AVE,-123.139362,1,2014
VANCOUVER,3,PDO,49.238985,Intersection,GRANVILLE ST & W 36TH AVE,-123.139392,1,2014
VANCOUVER,8,PDO,49.238013,Intersection,GRANVILLE ST & W 37TH AVE,-123.139448,1,2014
VANCOUVER,1,PDO,49.237121,Intersection,GRANVILLE ST & W 38TH AVE,-123.13951,1,2014
VANCOUVER,2,PDO,49.235364,Intersection,GRANVILLE ST & W 40TH AVE,-123.139588,1,2014
VANCOUVER,71,PDO,49.234343,Intersection,GRANVILLE ST & W 41ST AVE,-123.139623,1,2014
VANCOUVER,8,PDO,49.232466,Intersection,GRANVILLE ST & W 43RD AVE,-123.139592,1,2014
VANCOUVER,5,PDO,49.230631,Intersection,GRANVILLE ST & W 45TH AVE,-123.139663,1,2014
VANCOUVER,1,PDO,49.229691,Intersection,GRANVILLE ST & W 46TH AVE,-123.139701,1,2014
VANCOUVER,8,PDO,49.228775,Intersection,GRANVILLE ST & W 47TH AVE,-123.139736,1,2014
VANCOUVER,1,PDO,49.227897,Intersection,GRANVILLE ST & W 48TH AVE,-123.139774,1,2014
VANCOUVER,43,PDO,49.226966,Intersection,GRANVILLE ST & W 49TH AVE,-123.13981,1,2014
VANCOUVER,8,PDO,49.22408,Intersection,GRANVILLE ST & W 52ND AVE,-123.139929,1,2014
VANCOUVER,3,PDO,49.222613,Intersection,GRANVILLE ST & W 53RD AVE,-123.139989,1,2014
VANCOUVER,6,PDO,49.221704,Intersection,GRANVILLE ST & W 54TH AVE,-123.140015,1,2014
VANCOUVER,12,PDO,49.219331,Intersection,GRANVILLE ST & W 57TH AVE,-123.140129,1,2014
VANCOUVER,3,PDO,49.218444,Intersection,GRANVILLE ST & W 58TH AVE,-123.140181,1,2014
VANCOUVER,2,PDO,49.266772,Intersection,GRANVILLE ST & W 5TH AVE,-123.138455,1,2014
VANCOUVER,1,PDO,49.21681,Intersection,GRANVILLE ST & W 60TH AVE,-123.140244,1,2014
VANCOUVER,2,PDO,49.215919,Intersection,GRANVILLE ST & W 61ST AVE,-123.140271,1,2014
VANCOUVER,6,PDO,49.21499,Intersection,GRANVILLE ST & W 62ND AVE,-123.140301,1,2014
